@relation 'runoff_4km_train'
@attribute 'P1' real
@attribute 'P2' real
@attribute 'T1' real
@attribute 'T2' real
@attribute 'SCA_4' real
@attribute 'Q-1' real
@attribute 'Q' real
@data
0.1,0,10.1,1.4,69.61,96.8,105
0,0,7.9,2.8,69.61,105,113
0,0,7.2,2.8,69.61,113,108
3,0.9,9.8,5,69.61,108,116
0,9.2,9.2,3.8,69.61,116,116
0,0.3,9.4,3.9,69.61,116,119
0,0.2,6,0.4,69.45,119,124
0,0.8,5.1,1.2,69.45,124,120
0,0.5,4.5,-1,69.45,120,113
1,1,7,0.2,69.45,113,108
4.8,13.4,2.4,-0.1,69.45,108,108
9.9,17.7,3.4,-0.5,69.45,108,112
7.7,2.6,2.1,-4,69.45,112,109
5.2,0.8,4,-6.1,69.45,109,108
0,0,8.8,-1.8,86.46,108,107
0,0,4.8,1.4,86.46,107,116
6,7.2,2.6,-1.8,86.46,116,133
0,1.6,6,-2.4,58.90,133,144
0,0,10.8,3.6,58.90,144,141
0,0,9.8,5.8,58.90,141,139
2.9,1.4,11.6,6.6,58.90,139,138
0,0,10.6,6.7,58.90,138,152
9.3,15.7,8.2,4.1,58.90,152,196
0.9,2.9,13.4,8.4,58.90,196,259
0,0,11.6,7.9,58.90,259,255
1.4,0.1,12.2,6.3,58.90,255,258
0,0.2,13.2,5.3,58.90,258,274
1.8,10.3,16.6,10.2,45.51,274,289
0,0,18.7,11.8,45.04,289,300
0,0,19.8,12.7,45.04,300,310
0,0,19.8,13.6,37.80,310,336
4.2,9.2,14.7,11.4,37.80,336,384
1.5,2.5,18,12.3,37.80,384,460
0,0,16.9,11,37.80,460,497
0,0.3,16.8,11.3,37.80,497,455
1.3,3.4,16.9,12.2,37.80,455,445
1.4,9.6,16.7,11.4,37.80,445,477
0,0.3,16.7,10.4,15.75,477,495
0,0,19.8,14.4,15.75,495,445
0,0,21.3,15.2,15.59,445,389
0,0,20.4,13.9,15.59,389,359
0,0,19.4,14.2,15.59,359,335
1.3,0,20.4,14.1,15.59,335,318
0,0,22.2,16.8,15.59,318,296
0,0,23.4,16.6,15.59,296,279
0,0,18.8,14.7,15.59,279,264
2,0.2,24.2,17.8,12.13,264,244
